NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
1,right,0.7939999103546143,2,1,0.015000104904174805,6.0
1,right,0.871999979019165,1,1,0.9640002250671387,12
0, ,0,0,0,0.5800001621246338,6
1,right,0.6140000820159912,1,1,0.7400000095367432,0
1,right,0.6359999179840088,1,1,0.30500006675720215,12
0, ,0,0,0,0.8969998359680176,6
0, ,0,0,0,0.7349998950958252,6
1,right,0.3380000591278076,2,1,0.8509998321533203,3.0
1,right,0.37400007247924805,2,1,0.6089999675750732,0
1,right,0.4570000171661377,2,1,0.9089999198913574,0
1,right,0.4219999313354492,2,1,0.6010000705718994,12
0, ,0,0,0,0.5899999141693115,6
1,right,0.932999849319458,1,1,0.9570000171661377,12
1,right,0.2869999408721924,2,1,0.7769999504089355,3.0
1,right,0.3689999580383301,1,1,0.9700000286102295,12
0, ,0,0,0,0.49900007247924805,6
1,right,0.6630001068115234,1,1,0.6060001850128174,12
1,right,0.6109998226165771,2,1,0.8050000667572021,0
1,right,0.3269999027252197,2,1,0.7699999809265137,3.0
1,right,0.7609999179840088,1,1,0.5230000019073486,0
1,right,0.6019999980926514,2,0,0.501000165939331,6
1,right,0.5219998359680176,1,1,0.2390000820159912,12
0, ,0,0,0,0.47499990463256836,6
1,right,0.2760000228881836,2,0,0.8420000076293945,6
1,right,0.6430001258850098,1,1,0.5130000114440918,6.0
0, ,0,0,0,0.3450000286102295,6
1,right,0.7820000648498535,1,1,0.6119999885559082,12
1,right,0.39100003242492676,2,0,0.687999963760376,6
1,right,0.3509998321533203,2,0,0.7630000114440918,6
1,right,0.32200002670288086,2,0,0.6679999828338623,6
1,right,0.2690000534057617,1,1,0.45399999618530273,3.0
1,right,0.7160000801086426,1,1,0.7239999771118164,12
1,right,0.6430001258850098,2,0,0.7070000171661377,6
1,right,0.6000001430511475,1,1,0.6010000705718994,9.0
0, ,0,0,0,0.4609999656677246,6
1,right,0.3429999351501465,2,0,0.6620001792907715,6
1,right,0.6089999675750732,1,1,1.2779998779296875,12
1,right,0.312000036239624,1,1,0.3580000400543213,12
0, ,0,0,0,0.41499996185302734,6
1,right,0.3450000286102295,1,1,0.8769998550415039,12
1,right,0.3100001811981201,1,1,0.7649998664855957,12
0, ,0,0,0,0.9409999847412109,6
0, ,0,0,1,1.0260000228881836,6.0
1,right,0.3510000705718994,2,0,0.5249998569488525,6
1,right,0.38300013542175293,2,0,0.5820000171661377,6
0, ,0,0,0,0.38499999046325684,6
1,right,0.3489999771118164,2,0,0.6119999885559082,6
1,right,0.5580000877380371,2,0,1.184999942779541,6
0, ,0,0,0,0.5179998874664307,6
1,right,0.6909999847412109,1,1,0.880000114440918,12
1,right,0.31100010871887207,1,1,0.31400012969970703,9.0
1,right,0.7060000896453857,2,0,0.8359999656677246,6
1,right,0.7170000076293945,2,0,0.5510001182556152,6
0, ,0,0,0,0.4090001583099365,6
1,right,0.3210000991821289,2,0,1.3329999446868896,6
1,right,0.6589999198913574,1,1,0.4680001735687256,12
0, ,0,0,0,1.1600000858306885,6
1,right,0.9730000495910645,2,0,0.5920000076293945,6
1,right,0.32200002670288086,2,0,0.8289999961853027,6
0, ,0,0,0,0.4700000286102295,6
1,right,0.33299994468688965,2,0,1.8819999694824219,6
0, ,0,0,0,0.6299998760223389,6
1,right,0.30099987983703613,1,1,0.7599999904632568,9.0
1,right,1.1490001678466797,1,1,1.2609999179840088,12
1,right,0.31599998474121094,2,0,0.8159999847412109,6
1,right,0.29600000381469727,1,1,0.6000001430511475,6.0
1,right,0.5480000972747803,2,0,0.9019999504089355,6
0, ,0,0,0,0.5509998798370361,6
1,right,0.32000017166137695,1,1,0.8100001811981201,12
1,right,0.43000006675720215,1,1,0.3169999122619629,12
1,right,0.5859999656677246,1,1,0.6979999542236328,12
1,right,0.38899993896484375,1,1,0.4010000228881836,12
1,right,0.6649999618530273,1,1,0.6369998455047607,12
1,right,0.5449998378753662,1,1,0.3899998664855957,12
1,right,0.32200002670288086,2,0,0.560999870300293,6
1,right,0.4100000858306885,1,1,0.7650001049041748,12
1,right,0.626000165939331,1,1,0.2720000743865967,12
1,right,0.3599998950958252,2,0,0.6059999465942383,6
1,right,0.5090000629425049,2,0,2.4759998321533203,6
1,right,0.6210000514984131,2,0,0.5230000019073486,6
1,right,0.48600006103515625,2,0,0.4760000705718994,6
1,right,0.39299988746643066,1,1,1.9849998950958252,6.0
1,right,0.38499999046325684,2,0,0.8910000324249268,6
1,right,0.752000093460083,1,1,0.41100001335144043,12
0, ,0,0,0,0.434999942779541,6
0, ,0,0,0,0.5899999141693115,6
1,right,0.4939999580383301,1,1,0.49199986457824707,12
1,right,0.5690000057220459,2,0,0.9039998054504395,6
1,right,0.28800010681152344,1,1,0.43199992179870605,6.0
1,right,0.252000093460083,1,1,0.8090000152587891,12
1,right,0.3489999771118164,2,0,0.7219998836517334,6
0, ,0,0,0,1.6519999504089355,6
1,right,0.5989999771118164,2,0,0.3769998550415039,6
1,right,0.7760000228881836,2,0,1.318000078201294,6
1,right,0.6779999732971191,2,0,0.39299988746643066,6
1,right,0.6380000114440918,2,0,0.5939998626708984,6
0, ,0,0,0,0.42799997329711914,6
0, ,0,0,0,0.31399989128112793,6
0, ,0,0,0,0.7619998455047607,6
1,right,0.3229999542236328,1,1,0.43900012969970703,9.0
0, ,0,0,0,0.3400001525878906,6
1,right,0.6210000514984131,1,1,0.33099985122680664,9.0
1,right,0.5259997844696045,1,1,0.312999963760376,9.0
0, ,0,0,0,0.5499999523162842,6
1,right,0.2649998664855957,1,1,0.4160001277923584,6.0
0, ,0,0,0,1.5399999618530273,6
1,right,0.3060002326965332,2,0,0.5320000648498535,6
1,right,0.29200005531311035,2,0,2.1629998683929443,6
0, ,0,0,0,0.49699997901916504,6
1,right,0.33100008964538574,1,1,0.5209999084472656,9.0
1,right,0.9340000152587891,1,1,0.2840001583099365,12
1,right,0.4590001106262207,1,1,0.9429998397827148,6.0
1,right,0.28800010681152344,1,1,0.8380000591278076,9.0
1,right,0.3489999771118164,2,0,0.315000057220459,6
0, ,0,0,0,0.3540000915527344,6
0, ,0,0,0,0.3320000171661377,6
1,right,1.2360000610351562,1,1,1.628000020980835,9.0
1,right,0.28600001335144043,2,0,0.48600006103515625,6
1,right,0.7179999351501465,1,1,0.3639998435974121,12
1,right,0.3489999771118164,1,1,0.30100011825561523,9.0
