EFE1,AL1,AI1,EX1,EV1,EFE2,AL2,AI2,EX2,EV2,UAI,UAL,RAL,REX,PEAL2,PEAI1,PEEX2,PEEV1
,,,,,-0.9999999887457071,7.757378295907653e-13,0.0,0.9999999887464828,7.757378295907655e-13,,-0.305914073689328,7.757378295907655e-13,1.0,2.0194839173657902e-28,,0.0,
-1.7370225620528528,-0.2108755112025852,-0.693147060224447,0.8329999906258203,-0.9040225714270322,-1.2108754999529467,-0.21087551120646386,0.0,0.999999988746483,-0.21087551120646386,-0.6931470680247895,-0.305914073689328,-0.21087551120646386,2.0,0.0,-7.800342483044176e-09,0.9999999999999998,0.0
-1.8353595924100805,-0.1845971842644645,-0.6931470602244469,0.9576153479211689,-0.8777442444889114,-1.4075495606674022,-0.15831885733022252,2.2204460242624852e-16,1.24923070333718,-0.1583188573302223,-0.6931470680247895,-0.22967089118427395,-0.05952204721827896,2.0,0.09879681011194356,-7.800342594066478e-09,0.7507692826045806,0.0262783269381206
-1.8944587006038656,-0.1688042960516897,-0.693147060224447,1.0325073443277288,-0.8619513562761368,-1.525747777054973,-0.12673308090467295,0.0,1.3990146961503,-0.12673308090467295,-0.6931470680247895,-0.305914073689328,-0.21087551120646386,0.0,0.0,-7.800342483044176e-09,-1.0000000000000002,-0.0420712151508954
-1.7890209449967718,-0.06336654044459587,-0.693147060224447,1.0325073443277288,-0.7565136006690429,-1.525747777054973,-0.12673308090467295,0.0,1.3990146961503,-0.12673308090467295,-0.6931470680247895,-0.2296708911842739,7.723815901123325e-12,1.0,0.0,-7.800342483044176e-09,0.0,0.06336654045619838
,,,,,-0.9999999887457418,7.40982150388605e-13,0.0,0.9999999887464828,7.40982150388605e-13,,-0.2505294761907412,-0.022796289791169363,1.5,-0.005526560835298448,,0.42510800275064153,
-1.7888937915940506,-0.06274067914673194,-0.693147060224447,1.033006052222872,-0.755887739371179,-1.5254934702489031,-0.12548135830831708,0.0,1.4000121119405862,-0.12548135830831708,-0.6931470680247895,-0.22684406590944362,-0.060009200592126756,0.0,0.09636104346335453,-7.800342483044176e-09,-0.7599909321475796,0.06274067915770654
,,,,,-0.9999999887457418,7.40982150388605e-13,0.0,0.9999999887464828,7.40982150388605e-13,,-0.24008397087662617,-0.013093778825838426,0.0,0.003455910922172834,,-1.0049384213295758,
,,,,,-0.9999999887457418,7.40982150388605e-13,0.0,0.9999999887464828,7.40982150388605e-13,,-0.2350331407337775,7.40982150388605e-13,1.0,0.0,,0.0,
-1.7814339419157181,-0.062127060001883706,-0.693147060224447,1.0261598216893875,-0.7552741202263308,-1.5105737708922085,-0.12425412001859126,0.0,1.386319650873617,-0.12425412001859126,-0.6931470680247895,-0.18025366629866313,-0.02995833526394696,2.0,0.0942957847546443,-7.800342483044176e-09,0.6136803335254106,-0.06212706001282886
-1.8214698107885396,-0.05196286861442801,-0.693147060224447,1.0763598819496645,-0.7451099288388751,-1.5906455086378513,-0.10392573724367987,0.0,1.4867197713941713,-0.10392573724367987,-0.6931470680247895,-0.18025366615852104,7.06646075858473e-12,1.0,0.0,-7.800342483044176e-09,0.0,0.05196286862537314
-1.821469810788815,-0.05196286861470352,-0.693147060224447,1.0763598819496645,-0.7451099288391506,-1.5906455086378513,-0.10392573724367987,0.0,1.4867197713941713,-0.10392573724367987,-0.6931470680247895,-0.1507635735391465,-0.018101531498180556,2.0,0.08582420574549932,-7.800342483044176e-09,0.513280211875002,-0.05196286862509769
-1.8502475473857396,-0.04465685949394319,-0.693147060224447,1.1124436276673493,-0.7378039197183902,-1.6482009818317003,-0.08931371900215919,0.0,1.5588872628295412,-0.08931371900215919,-0.6931470680247895,-0.18025366615852104,6.515429780803628e-12,1.0,0.0,-7.800342483044176e-09,0.0,0.04465685950433729
-1.850247547385984,-0.0446568594941877,-0.693147060224447,1.1124436276673493,-0.7378039197186348,-1.6482009818317003,-0.08931371900215919,0.0,1.5588872628295412,-0.08931371900215919,-0.6931470680247895,-0.12956612866035325,-0.22106620765682636,0.0,-0.13175248865466715,-7.800342483044176e-09,-1.558887280372506,-0.044656859504092816
,,,,,-0.9999999887457969,6.858447930668824e-13,0.0,0.9999999887464828,6.858447930668824e-13,,-0.18841109748259063,-0.01237298428293267,2.0,0.0006147432901901766,,1.0146874725573958,
-1.7503613795099735,-0.03891222460464764,-0.693147060224447,1.018302094680879,-0.7320592848290947,-1.4484286460796794,-0.07782444922307907,0.0,1.3706041968566003,-0.07782444922307907,-0.6931470680247895,-0.1785078161802931,6.026424720201532e-12,1.0,0.0,-7.800342483044176e-09,0.0,0.03891222461455279
-1.7503613795101918,-0.03891222460486561,-0.693147060224447,1.018302094680879,-0.7320592848293126,-1.4484286460796794,-0.07782444922307907,0.0,1.3706041968566003,-0.07782444922307907,-0.6931470680247895,-0.11289881010010144,-0.014677918837408259,2.0,0.06314653038567081,-7.800342483044176e-09,0.6293957877192815,-0.038912224614334856
-1.7804612742673267,-0.03466525310297998,-0.6931470602244469,1.0526489609399,-0.727812313327427,-1.5086284355939497,-0.06933050621930781,2.2204460242624852e-16,1.4392979293746422,-0.06933050621930759,-0.6931470680247895,-0.10057676904800139,-0.22606201117504818,1.5,-0.15673150495574037,-7.800342594066478e-09,0.06070205442819354,-0.034665253112448946
-1.7800367439364575,-0.031254106754618656,-0.693147060224447,1.055635576957392,-0.7244011669790656,-1.5077793749322117,-0.06250821352258516,0.0,1.4452711614096267,-0.06250821352258516,-0.6931470680247895,-0.1785078161802931,5.590475914068594e-12,1.0,0.0,-7.800342483044176e-09,0.0,0.031254106764087686
,,,,,-0.9999999887458383,6.445322677037083e-13,0.0,0.9999999887464828,6.445322677037084e-13,,-0.17470546202915274,-0.011255008453296918,2.0,0.000787949613867113,,0.9686533913615409,
-1.781241708442209,-0.031101085572776497,-0.693147060224447,1.0569935626449853,-0.7242481457972236,-1.5101893039433234,-0.06220217115851054,0.0,1.447987132784813,-0.06220217115851054,-0.6931470680247895,-0.09023579581410168,-0.012298363434622317,2.0,0.04990380772388822,-7.800342483044176e-09,0.5520128509202387,-0.031101085581855314
-1.803084177949701,-0.028327260710341855,-0.693147060224447,1.0816098570149124,-0.7214743209347889,-1.5538742429583083,-0.056654521433641254,0.0,1.497219721524667,-0.056654521433641254,-0.6931470680247895,-0.08218790008155907,-0.24943076105590556,0.5,-0.1927762396222643,-7.800342483044176e-09,-0.9972197383736552,-0.02832726071942082
,,,,,-0.9999999887458383,6.445322677037083e-13,0.0,0.9999999887464828,6.445322677037084e-13,,-0.1628996020103356,-0.014801319185050354,1.5,-0.0035721735511215144,,0.47687618914011254,
-1.760002376433347,-0.02590165468534403,-0.6931470602244472,1.0409536615235557,-0.7190487149097912,-1.4677106399255997,-0.051803309383645614,-2.2204460242624852e-16,1.4159073305419538,-0.051803309383645836,-0.6931470680247895,-0.17511564497509396,5.200174212938049e-12,1.0,0.0,-7.800342372021873e-09,0.0,0.02590165469442296
-1.7600023764335224,-0.025901654685519436,-0.6931470602244472,1.0409536615235557,-0.7190487149099666,-1.4677106399255997,-0.051803309383645614,-2.2204460242624852e-16,1.4159073305419538,-0.051803309383645836,-0.6931470680247895,-0.17511564497509396,4.849364856915541e-12,1.0,0.0,-7.800342372021873e-09,0.0,0.025901654694247545
