NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
1,right,2.4860000610351562,1,1,32.47200012207031,9.0
1,right,1.6080000400543213,2,1,0.8569998741149902,3.0
1,right,0.1119999885559082,2,0,1.4739999771118164,6
1,left,2.868000030517578,0,1,1.430999994277954,3.0
1,right,1.1480000019073486,1,1,1.2890000343322754,12
1,right,1.1500000953674316,2,0,1.2920000553131104,6
1,right,1.1459999084472656,2,1,1.1059999465942383,3.0
1,right,1.625,2,0,0.878000020980835,6
1,right,0.8350000381469727,2,0,1.3420000076293945,6
1,right,0.04399991035461426,1,1,0.874000072479248,12
1,right,1.1999998092651367,2,0,0.6399998664855957,6
0, ,0,0,1,3.493000030517578,0
1,right,0.9800000190734863,1,1,0.8849999904632568,9.0
1,right,0.11599993705749512,1,1,0.7149999141693115,6.0
0, ,0,0,1,0.9619998931884766,0
0, ,0,0,1,1.434999942779541,12
1,right,0.9219999313354492,2,0,1.3889999389648438,6
1,right,0.8329999446868896,2,0,0.5159997940063477,6
0, ,0,0,1,0.7019999027252197,12
1,right,0.7290000915527344,2,0,0.8410000801086426,6
1,right,0.7220001220703125,1,1,0.934999942779541,9.0
1,right,1.559000015258789,1,1,1.7339999675750732,12
0, ,0,0,0,0.9820001125335693,6
1,right,1.1620001792907715,2,0,0.9130001068115234,6
1,right,0.5370001792907715,2,0,0.9950001239776611,6
1,right,0.6989998817443848,1,1,0.9210000038146973,6.0
1,right,2.11299991607666,1,1,0.8149998188018799,12
0, ,0,0,1,0.8789999485015869,12
0, ,0,0,1,0.6330001354217529,3.0
1,right,0.432999849319458,1,1,1.0280001163482666,12
1,right,0.5750000476837158,1,1,0.5089998245239258,9.0
1,right,0.5729999542236328,2,0,1.4210000038146973,6
0, ,0,0,1,0.8610000610351562,3.0
1,right,0.8450000286102295,1,1,1.0360000133514404,12
1,right,1.24399995803833,1,1,0.8540000915527344,12
0, ,0,0,1,0.36699986457824707,6.0
1,right,0.6710000038146973,1,1,0.6110000610351562,9.0
1,right,0.9440000057220459,2,0,0.6349999904632568,6
1,left,0.9119999408721924,0,0,0.35899996757507324,6
1,right,0.29799985885620117,1,1,0.8680000305175781,9.0
0, ,0,0,1,0.5510001182556152,0
1,right,0.37400007247924805,1,1,0.5559999942779541,9.0
1,right,0.7750000953674316,2,0,0.693000078201294,6
1,right,0.3250000476837158,2,0,0.4440000057220459,6
1,right,0.4200000762939453,1,1,3.552000045776367,12
1,right,0.3259999752044678,2,0,0.7750000953674316,6
0, ,0,0,1,3.3320000171661377,0
0, ,0,0,1,0.8369998931884766,3.0
1,right,0.43199992179870605,2,0,0.7060000896453857,6
1,right,0.8289999961853027,1,1,0.8380000591278076,6.0
1,left,0.7860000133514404,0,0,1.9900000095367432,6
1,right,0.7399997711181641,2,0,0.7380001544952393,6
