EFE1,AL1,AI1,EX1,EV1,EFE2,AL2,AI2,EX2,EV2,UAI,UAL,RAL,REX,PEAL2,PEAI1,PEEX2,PEEV1
-2.2826592790942706,-0.47029847979918854,-0.9793608169162881,0.832999982378794,-1.4496592967154764,-1.4702984586496333,-0.470298479803542,0.0,0.9999999788460914,-0.470298479803542,-0.6931470680247895,-0.6078511194849583,-0.470298479803542,1.0,0.0,0.28621374889149853,-2.220446049250313e-16,0.0
-2.1870666445241858,-0.37470584522910394,-0.9793608169162881,0.832999982378794,-1.354066662145392,-1.4702984586496333,-0.470298479803542,0.0,0.9999999788460914,-0.470298479803542,-0.6931470680247895,-0.6078511194849583,-0.470298479803542,2.0,0.0,0.28621374889149853,0.9999999999999998,-0.09559263457008438
,,,,,-0.9999999788452205,8.706921595028156e-13,0.0,0.9999999788460912,8.706921595028156e-13,,-0.48028490032779864,8.706921595028156e-13,1.0,0.0,,0.0,
-2.2947335120832353,-0.2791132106590194,-0.9793608169162881,1.0362594845079278,-1.2584740275753075,-1.6856321937677319,-0.27911321066337286,0.0,1.4065189831043592,-0.27911321066337286,-0.6931470680247895,-0.3607480883962118,-0.5180948033516772,0.0,-0.23898159268830438,0.28621374889149853,-1.406519012857734,0.0
-2.051138678110335,-0.23877787881525275,-0.9793608169162881,0.832999982378794,-1.218138695731541,-1.1984425258219307,-0.19844254697583955,0.0,0.9999999788460912,-0.19844254697583955,-0.6931470680247895,-0.2564829135384376,-0.08324596057402887,2.0,0.11519658640181067,0.28621374889149853,1.0,0.0403353318437667
,,,,,-0.9999999788452244,8.667808159512907e-13,0.0,0.9999999788460912,8.667808159512907e-13,,-0.43810371773392187,8.667808159512907e-13,1.0,0.0,,0.0,
,,,,,-0.9999999788452284,8.628956446594786e-13,0.0,0.9999999788460912,8.628956446594786e-13,,-0.43810371773392187,8.628956446594786e-13,1.0,0.0,,0.0,
-2.1410011994472478,-0.2165305054637063,-0.9793608169162881,0.9451098770672536,-1.1958913223799945,-1.378167568495757,-0.15394780027274665,0.0,1.2242197682230105,-0.15394780027274665,-0.6931470680247895,-0.3607480883962118,-0.5180948033516772,0.5,-0.23898159268830438,0.28621374889149853,-0.5,-0.06258270519531295
-2.028409644875231,-0.17619517361993964,-0.9793608169162881,0.8728536543390034,-1.1555559905362276,-1.378167568495757,-0.15394780027274665,0.0,1.2242197682230105,-0.15394780027274665,-0.6931470680247895,-0.25648291353843766,-0.538262471916274,0.0,-0.33981992494043434,0.28621374889149853,-0.8554875514864967,-0.022247373351546695
-2.001444594111266,-0.07697390012772469,-0.9793608169162881,0.9451098770672536,-1.0563347170440127,-1.378167568495757,-0.15394780027274665,0.0,1.2242197682230105,-0.15394780027274665,-0.6931470680247895,-0.19897437076166463,-0.09436964815175525,0.0,0.05957815434364319,0.28621374889149853,-0.6636703088199334,0.07697390014066852
-2.001444594111266,-0.07697390012772469,-0.9793608169162881,0.9451098770672536,-1.0563347170440127,-1.378167568495757,-0.15394780027274665,0.0,1.2242197682230105,-0.15394780027274665,-0.6931470680247895,-0.162531574915498,-0.5564351687328974,2.0,-0.43068340131392546,0.28621374889149853,1.45788304354532,0.07697390014066852
,,,,,-0.9999999788452322,8.590365114106627e-13,0.0,0.9999999788460912,8.590365114106629e-13,,-0.2148310396394061,8.590365114106629e-13,1.0,2.0194839173657902e-28,,0.0,
-2.0014445941112853,-0.07697390012774386,-0.9793608169162881,0.9451098770672536,-1.056334717044032,-1.378167568495757,-0.15394780027274665,0.0,1.2242197682230105,-0.15394780027274665,-0.6931470680247895,-0.19897436788893288,-0.03640383306019686,2.0,0.1175439672125498,0.28621374889149853,0.7757802058799557,-0.07697390014064931
-2.058389895551361,-0.06287588271255783,-0.9793608169162881,1.0161531959225154,-1.042236699628846,-1.4920581713759085,-0.1257517654423746,0.0,1.366306405933534,-0.1257517654423746,-0.6931470680247895,-0.13737153837043617,-0.10628528026959606,0.5,-1.5345146681111643e-09,0.28621374889149853,-0.2677986062306399,0.0628758827254633
-2.058389895551361,-0.06287588271255783,-0.9793608169162881,1.0161531959225154,-1.042236699628846,-1.4920581713759085,-0.1257517654423746,0.0,1.366306405933534,-0.1257517654423746,-0.6931470680247895,-0.16253157236078655,-0.02070339002718939,2.0,0.1050483754151852,0.28621374889149853,0.6336935651637443,-0.06287588272546318
,,,,,-0.9999999788452361,8.552032819881264e-13,0.0,0.9999999788460912,8.552032819881264e-13,,-0.20716458447235286,8.552032819881264e-13,1.0,0.0,,0.0,
-2.0977048258203017,-0.053142637667826904,-0.9793608169162881,1.0652013712361867,-1.032503454584115,-1.5706880319137513,-0.10628527535287469,0.0,1.4644027565608768,-0.10628527535287469,-0.6931470680247895,-0.1373715339990035,-0.013421468383511157,2.0,0.09286380696936353,0.28621374889149853,0.5355972124612802,-0.05314263768069449
-2.126479432494196,-0.04601887332984108,-0.9793608169162881,1.1010997422480673,-1.0253796902461292,-1.6282372452615403,-0.09203774667690304,0.0,1.5361994985846374,-0.09203774667690304,-0.6931470680247895,-0.11895690000663547,-0.05188134760416193,0.0,0.04015640217026622,0.28621374889149853,-0.7319002344593687,0.04601887334270849
-2.126479432494196,-0.04601887332984108,-0.9793608169162881,1.1010997422480673,-1.0253796902461292,-1.6282372452615403,-0.09203774667690304,0.0,1.5361994985846374,-0.09203774667690304,-0.6931470680247895,-0.10489565045802515,-0.054601168443899506,0.5,0.026557298435643195,0.28621374889149853,-0.14538627936845694,0.04601887334270849
-2.126479432494196,-0.04601887332984108,-0.9793608169162881,1.1010997422480673,-1.0253796902461292,-1.6282372452615403,-0.09203774667690304,0.0,1.5361994985846374,-0.09203774667690304,-0.6931470680247895,-0.11895689600314793,-0.10984716269572034,0.0,-0.017809416018817303,0.28621374889149853,-1.5361995310812622,-0.04601887334270849
-2.030246887977553,-0.04057923211743291,-0.9793608169162881,1.0103068389438323,-1.019940049033721,-1.4357721562282544,-0.08115846425208668,1.5686554535310813e-16,1.3546136919761678,-0.08115846425208653,-0.6931470680247895,-0.09380720936631375,8.513956879584371e-12,1.0,0.0,0.28621374889149853,0.0,0.040579232130300236
-2.0302468879779085,-0.04057923211778846,-0.9793608169162881,1.0103068389438323,-1.0199400490340764,-1.4357721562282544,-0.08115846425208668,1.5686554535310813e-16,1.3546136919761678,-0.08115846425208653,-0.6931470680247895,-0.10489564706209226,-0.012145929468353555,2.0,0.06901253478373313,0.28621374889149853,0.645386279368457,-0.04057923212994474
,,,,,-0.9999999788452753,8.158410086805328e-13,0.0,0.9999999788460912,8.158410086805328e-13,,-0.18305342111243889,8.158410086805328e-13,1.0,0.0,,0.0,
-2.060068938543087,-0.03628963168683248,-0.9793608169162881,1.0444184899399667,-1.0156504486031206,-1.4954162573585779,-0.07257926339014156,0.0,1.4228369939684362,-0.07257926339014156,-0.6931470680247895,-0.09380720936631375,7.769674184376257e-12,1.0,0.0,0.28621374889149853,0.0,0.036289631698955604
-2.060068938543398,-0.036289631687143324,-0.9793608169162881,1.0444184899399667,-1.0156504486034312,-1.4954162573585779,-0.07257926339014156,0.0,1.4228369939684362,-0.07257926339014156,-0.6931470680247895,-0.09380720626934702,-0.5697282952425056,1.0,-0.49714903185236403,0.28621374889149853,-0.42283702406700097,-0.036289631698644964
