NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
1,right,4.075999975204468,2,1,3.0250000953674316,0
1,left,0.8910000324249268,0,0,0.09400010108947754,6
1,right,0.03800010681152344,2,1,0.48599982261657715,3.0
1,right,0.871999979019165,2,1,1.2899999618530273,0
1,left,0.21000003814697266,0,0,0.7970001697540283,6
0, ,0,0,0,0.2999999523162842,6
1,left,0.9960000514984131,0,0,0.09500002861022949,6
0, ,0,0,1,0.9700000286102295,6.0
1,right,0.5060000419616699,2,0,1.369999885559082,6
0, ,0,0,1,0.5219998359680176,0
0, ,0,0,0,0.685999870300293,6
0, ,0,0,0,0.6410000324249268,6
1,right,0.6140000820159912,2,1,0.5189998149871826,0
0, ,0,0,1,0.19099998474121094,12
1,right,0.49899983406066895,1,1,0.8660001754760742,12
1,right,0.7139999866485596,1,1,0.4200000762939453,12
1,right,0.053999900817871094,1,1,0.8429999351501465,9.0
1,right,0.7730000019073486,2,0,0.49000000953674316,6
1,right,0.7209999561309814,2,0,0.3819999694824219,6
1,right,0.5149998664855957,2,0,0.7699999809265137,6
1,right,1.2720000743865967,1,1,0.503000020980835,9.0
1,right,0.5170001983642578,2,0,0.4809999465942383,6
1,right,0.1100001335144043,2,0,0.812000036239624,6
1,right,0.6719999313354492,1,1,0.8619999885559082,9.0
0, ,0,0,0,1.5520000457763672,6
1,right,0.5690000057220459,1,1,0.6549999713897705,12
1,right,0.25,2,0,0.6190001964569092,6
1,right,0.5930001735687256,1,1,0.620999813079834,0
0, ,0,0,1,0.5559999942779541,12
1,left,1.178999900817871,0,1,0.568000078201294,12
1,right,0.4309999942779541,2,1,0.5639998912811279,0
1,right,0.3210000991821289,1,1,0.06599998474121094,12
0, ,0,0,1,0.10899996757507324,9.0
0, ,0,0,0,0.6110000610351562,6
1,right,0.6630001068115234,2,0,0.49900007247924805,6
0, ,0,0,1,0.5,12
1,right,0.3880000114440918,1,1,0.375,12
0, ,0,0,1,0.5369999408721924,3.0
1,right,0.5889999866485596,2,0,0.006999969482421875,6
1,right,0.45800018310546875,2,0,0.4809999465942383,6
1,right,0.3640000820159912,1,1,0.12199997901916504,3.0
0, ,0,0,0,0.6710000038146973,6
1,left,1.0,0,0,0.024000167846679688,6
1,right,0.4850001335144043,2,0,0.1789999008178711,6
1,right,0.35899996757507324,1,1,0.4509999752044678,12
1,right,0.7539999485015869,1,1,0.3659999370574951,0
1,right,0.6059999465942383,2,1,0.35700011253356934,6.0
0, ,0,0,1,0.4529998302459717,3.0
1,right,0.44700002670288086,2,0,0.18899989128112793,6
0, ,0,0,0,0.30900001525878906,6
1,right,0.5409998893737793,1,1,0.4529998302459717,12
0, ,0,0,0,0.40200018882751465,6
1,right,0.29200005531311035,2,0,0.04700016975402832,6
1,right,0.934999942779541,1,1,0.6369998455047607,3.0
1,right,0.4790000915527344,2,0,0.4479999542236328,6
1,right,0.9789998531341553,1,1,0.13900017738342285,12
1,right,0.4610002040863037,1,1,2.9589998722076416,12
1,right,0.5550000667572021,1,1,0.8000001907348633,9.0
1,right,0.4780001640319824,1,1,0.46899986267089844,12
0, ,0,0,0,0.47299981117248535,6
1,right,0.4760000705718994,1,1,0.8630001544952393,6.0
1,right,0.8220000267028809,1,1,0.6480000019073486,12
0, ,0,0,0,0.6640000343322754,6
0, ,0,0,0,0.3959999084472656,6
1,right,0.3810000419616699,2,0,0.44899988174438477,6
1,left,0.20099997520446777,0,1,0.6009998321533203,3.0
1,right,0.4909999370574951,1,1,0.47300004959106445,12
0, ,0,0,0,0.059999942779541016,6
1,right,0.3020000457763672,1,1,0.3659999370574951,12
1,right,0.3659999370574951,2,0,0.3059999942779541,6
1,right,0.42599987983703613,2,0,0.4889998435974121,6
1,right,0.28600001335144043,2,0,0.23399996757507324,6
1,right,0.13199996948242188,1,1,0.006999969482421875,12
1,right,0.3359999656677246,1,1,0.2719998359680176,9.0
1,right,0.14800000190734863,2,0,0.2820000648498535,6
0, ,0,0,0,0.309999942779541,6
1,right,0.3619999885559082,2,1,0.5860002040863037,6.0
1,right,0.4760000705718994,1,1,0.2569999694824219,3.0
1,right,0.4960000514984131,2,0,0.3190000057220459,6
1,right,0.4380002021789551,1,1,0.869999885559082,9.0
1,right,0.5380001068115234,1,1,0.2909998893737793,12
1,right,0.5149998664855957,1,1,0.05200004577636719,3.0
1,right,0.2929999828338623,2,0,0.5180001258850098,6
1,right,0.43000006675720215,1,1,0.20099997520446777,3.0
1,left,1.564000129699707,0,0,0.3229999542236328,6
0, ,0,0,0,0.0690000057220459,6
1,right,0.8320000171661377,1,1,0.4069998264312744,12
1,right,0.3469998836517334,2,0,0.9899997711181641,6
0, ,0,0,0,0.38899993896484375,6
1,right,0.43900012969970703,2,1,0.3919999599456787,0
