NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
1,left,2.4710001945495605,0,0,1.5980000495910645,6
1,right,2.2119998931884766,1,1,10.461000204086304,9.0
0, ,0,0,1,0.17100000381469727,0
1,left,1.121999979019165,0,0,2.6430001258850098,6
1,right,1.3599998950958252,2,1,0.7869999408721924,9.0
1,left,1.6180000305175781,0,0,0.9930000305175781,6
1,right,1.813999891281128,1,1,0.7989997863769531,0
1,left,0.45200014114379883,0,0,0.9560000896453857,6
1,left,0.8880000114440918,0,1,0.6899998188018799,12
1,left,0.6749999523162842,0,0,0.35899996757507324,6
1,left,0.08299994468688965,0,1,0.2820000648498535,6.0
0, ,0,0,0,0.6389999389648438,6
1,left,0.2929999828338623,0,1,0.5479998588562012,0
1,left,0.2839999198913574,0,1,0.5600001811981201,12
0, ,0,0,0,0.690000057220459,6
1,left,0.4529998302459717,0,1,0.937000036239624,9.0
1,left,0.6779999732971191,0,0,0.679999828338623,6
1,left,0.21000003814697266,0,1,0.5770001411437988,12
1,left,0.5119998455047607,0,1,0.6979999542236328,3.0
1,left,0.015000104904174805,0,1,0.5809998512268066,9.0
0, ,0,0,0,0.05799984931945801,6
1,left,0.6949999332427979,0,1,0.6619999408721924,3.0
0, ,0,0,0,2.4019999504089355,6
0, ,0,0,1,0.2390000820159912,0
1,left,0.4779999256134033,0,1,0.4720001220703125,12
1,left,0.05299997329711914,0,1,0.3130002021789551,0
1,right,3.253999948501587,1,0,3.621999979019165,6
0, ,0,0,0,0.5409998893737793,6
1,left,0.13300013542175293,0,1,0.5469999313354492,0
1,left,0.7840001583099365,0,1,1.6610000133514404,12
1,left,0.8009998798370361,0,0,1.3589999675750732,6
1,left,0.1399998664855957,0,1,0.6579999923706055,6.0
1,left,0.16299986839294434,0,1,0.5529999732971191,9.0
0, ,0,0,1,0.06999993324279785,12
1,left,0.08599996566772461,0,0,0.7379999160766602,6
0, ,0,0,1,0.753000020980835,6.0
1,left,0.6649999618530273,0,1,0.3269999027252197,0
0, ,0,0,0,0.8999998569488525,6
1,left,0.06200003623962402,0,1,0.937999963760376,12
1,left,0.556999921798706,0,1,0.37399983406066895,12
1,left,0.05900001525878906,0,0,1.5260000228881836,6
1,left,0.7030000686645508,0,1,0.5950000286102295,12
0, ,0,0,1,0.09299993515014648,3.0
1,left,0.11800003051757812,0,0,0.4760000705718994,6
0, ,0,0,1,0.22300004959106445,3.0
1,left,0.7150001525878906,0,1,0.26800012588500977,9.0
1,left,0.2370002269744873,0,1,0.5170001983642578,9.0
1,left,0.4070000648498535,0,1,1.189000129699707,9.0
0, ,0,0,0,0.8469998836517334,6
1,left,0.22099995613098145,0,1,0.023000001907348633,12
0, ,0,0,1,0.9019999504089355,0
1,left,0.992999792098999,0,0,0.11300015449523926,6
1,left,0.8320000171661377,0,1,0.22699999809265137,12
1,left,0.5690000057220459,0,1,1.5480000972747803,3.0
1,left,0.4219999313354492,0,0,0.5469999313354492,6
0, ,0,0,0,0.753000020980835,6
0, ,0,0,1,0.16899991035461426,3.0
0, ,0,0,1,1.191999912261963,12
0, ,0,0,1,0.06700015068054199,0
1,left,0.3040001392364502,0,0,1.190999984741211,6
1,left,81.41199994087219,0,0,1.9760000705718994,6
1,right,1.0390000343322754,2,1,0.4590001106262207,0
1,left,1.1150000095367432,0,1,2.8479998111724854,9.0
0, ,0,0,1,0.16200017929077148,3.0
1,left,2.7380001544952393,0,0,0.22099995613098145,6
1,right,0.7209999561309814,2,0,0.1660001277923584,6
1,left,0.9079999923706055,0,0,1.1610000133514404,6
1,left,0.013000011444091797,0,1,0.7139999866485596,12
1,left,0.3880000114440918,0,1,0.7619998455047607,0
1,left,0.4530000686645508,0,0,0.0010001659393310547,6
1,right,0.1269998550415039,2,1,0.8519999980926514,0
1,left,1.0969998836517334,0,1,1.127000093460083,12
1,left,0.5909998416900635,0,1,1.9240000247955322,6.0
1,left,0.44900012016296387,0,1,0.05900001525878906,0
1,left,0.46399998664855957,0,0,0.11599993705749512,6
1,left,0.33899998664855957,0,0,0.41499996185302734,6
1,left,0.6779999732971191,0,1,0.7109999656677246,12
1,left,0.5829999446868896,0,1,0.1269998550415039,9.0
1,left,0.16199994087219238,0,1,0.4070000648498535,12
1,left,0.031999826431274414,0,1,0.5299999713897705,3.0
1,left,0.07299995422363281,0,0,0.1400001049041748,6
0, ,0,0,1,0.11500000953674316,12
1,left,0.056999921798706055,0,1,0.43599987030029297,12
1,left,0.22100019454956055,0,1,0.1360001564025879,12
0, ,0,0,0,0.11800003051757812,6
1,left,0.6289999485015869,0,1,0.5310001373291016,12
1,left,0.4159998893737793,0,1,0.2590000629425049,6.0
1,left,1.0929999351501465,0,1,1.0950000286102295,0
1,left,0.5150001049041748,0,0,0.40400004386901855,6
1,left,0.7130000591278076,0,1,0.9559998512268066,12
1,left,0.5290000438690186,0,1,2.069000005722046,3.0
1,left,0.1549999713897705,0,0,0.5449998378753662,6
0, ,0,0,0,0.7430000305175781,6
1,left,0.5209999084472656,0,1,1.2120001316070557,3.0
1,left,0.14599990844726562,0,1,0.40799999237060547,0
1,left,0.6660001277923584,0,0,0.48000001907348633,6
0, ,0,0,1,0.6409997940063477,3.0
0, ,0,0,0,0.06200003623962402,6
0, ,0,0,1,0.943000078201294,12
1,left,0.5729999542236328,0,1,0.30900001525878906,6.0
1,left,0.40199995040893555,0,1,0.9460000991821289,3.0
1,left,1.3289999961853027,0,0,1.4860000610351562,6
1,left,2.1490001678466797,0,1,0.3190000057220459,12
0, ,0,0,1,0.748999834060669,3.0
1,left,0.34200000762939453,0,1,1.6400001049041748,12
0, ,0,0,1,2.99399995803833,12
1,left,0.16100001335144043,0,1,1.8989999294281006,6.0
1,left,0.4909999370574951,0,1,0.39999985694885254,3.0
1,left,0.0409998893737793,0,0,0.36500000953674316,6
1,left,0.41900014877319336,0,0,1.318000078201294,6
1,left,0.4219999313354492,0,1,0.47099995613098145,0
0, ,0,0,0,0.9489998817443848,6
1,left,0.11800003051757812,0,1,0.42100000381469727,3.0
1,left,0.11699986457824707,0,0,0.7000000476837158,6
1,left,0.3190000057220459,0,0,0.6159999370574951,6
0, ,0,0,1,0.40199995040893555,12
0, ,0,0,1,0.753000020980835,0
1,left,0.3860001564025879,0,1,0.6540000438690186,0
1,left,0.437000036239624,0,0,0.4549999237060547,6
1,left,0.5750000476837158,0,0,0.12399983406066895,6
