NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
1,right,1.5940001010894775,2,1,1.636000156402588,0
1,left,1.0279998779296875,0,1,1.0140001773834229,3.0
1,right,1.2170000076293945,2,1,0.7579998970031738,0
1,right,0.6010000705718994,1,1,0.09800004959106445,12
1,right,1.444000005722046,2,0,0.10699987411499023,6
1,right,0.09299993515014648,2,0,0.3599998950958252,6
1,right,0.1420001983642578,1,1,0.25500011444091797,12
0, ,0,0,1,1.1430001258850098,12
1,right,0.06200003623962402,2,1,0.3900001049041748,0
0, ,0,0,1,0.3450000286102295,0
1,right,0.22299981117248535,1,1,0.023000001907348633,12
1,right,0.2539999485015869,1,1,0.4089999198913574,9.0
1,right,0.1359999179840088,2,0,0.02500009536743164,6
1,right,0.3210000991821289,1,1,0.2910001277923584,12
1,right,0.18399977684020996,2,0,0.125,6
1,right,0.12299990653991699,1,1,0.020000219345092773,12
0, ,0,0,1,0.2539999485015869,12
1,right,0.12400007247924805,1,1,0.1529998779296875,12
1,right,0.02500009536743164,2,0,0.06200003623962402,6
1,right,0.12299990653991699,1,1,0.09500002861022949,12
1,right,0.051999807357788086,2,0,0.03900003433227539,6
1,right,0.31800007820129395,1,1,0.5320000648498535,3.0
1,right,0.02500009536743164,2,1,0.2070000171661377,3.0
1,right,0.019999980926513672,1,1,0.24699997901916504,9.0
1,right,0.0710000991821289,2,1,0.18799996376037598,3.0
0, ,0,0,1,0.2929999828338623,0
1,right,0.36699986457824707,2,0,0.18799996376037598,6
0, ,0,0,1,0.05800008773803711,12
0, ,0,0,1,0.11699986457824707,12
1,right,0.14499998092651367,2,0,0.25100016593933105,6
1,right,0.11500000953674316,2,0,0.06399989128112793,6
1,right,0.21800017356872559,2,0,0.12899994850158691,6
1,right,0.3059999942779541,1,1,0.06800007820129395,12
1,right,0.3229999542236328,2,0,0.16300010681152344,6
1,right,0.14400005340576172,2,0,0.18700003623962402,6
0, ,0,0,1,0.31999993324279785,3.0
1,right,0.08100008964538574,1,1,0.18000006675720215,9.0
1,right,0.4290001392364502,1,1,0.9440000057220459,12
1,right,0.1960000991821289,1,1,0.127000093460083,12
