NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
1,left,0.8139998912811279,0,0,0.5479998588562012,6
0, ,0,0,0,0.41700005531311035,6
1,right,0.3039999008178711,2,1,0.746999979019165,0
0, ,0,0,0,0.9440000057220459,6
0, ,0,0,0,0.6189999580383301,6
1,right,0.4200000762939453,2,1,0.5039999485015869,0
1,right,0.38699984550476074,2,0,0.5740001201629639,6
0, ,0,0,0,0.5239999294281006,6
1,right,0.4070000648498535,2,1,0.3600001335144043,9.0
1,right,0.36300015449523926,2,0,0.5309998989105225,6
1,right,0.4830000400543213,1,0,0.44499993324279785,6
1,right,0.37800002098083496,1,1,0.3560001850128174,12
0, ,0,0,1,2.8299999237060547,3.0
0, ,0,0,1,0.4219999313354492,0
1,right,0.009999990463256836,1,1,0.4779999256134033,12
1,right,0.31599998474121094,1,1,0.3489999771118164,12
1,right,0.4589998722076416,1,1,0.8929998874664307,12
1,right,0.2929999828338623,1,1,1.0989999771118164,12
1,right,0.5559999942779541,2,1,1.3859999179840088,0
0, ,0,0,0,0.9689998626708984,6
1,right,0.032000064849853516,1,1,2.196000099182129,6.0
1,right,0.11899995803833008,2,0,0.40400004386901855,6
1,right,0.3269999027252197,2,0,1.8870000839233398,6
0, ,0,0,0,0.3899998664855957,6
1,right,0.5580000877380371,2,1,0.2999999523162842,3.0
1,right,0.7200000286102295,1,1,1.2650001049041748,12
0, ,0,0,1,1.2109999656677246,12
0, ,0,0,0,0.9089999198913574,6
1,right,0.4589998722076416,2,0,0.9309999942779541,6
0, ,0,0,0,0.8320000171661377,6
1,right,0.17400002479553223,1,1,0.628000020980835,6.0
1,right,0.6039998531341553,2,1,0.9569997787475586,3.0
1,right,0.3640000820159912,2,0,0.8650000095367432,6
0, ,0,0,1,0.5369999408721924,0
1,right,0.5909998416900635,1,1,0.5279998779296875,12
1,right,0.4479999542236328,2,0,0.36299991607666016,6
1,right,0.2070000171661377,2,1,0.2610001564025879,0
1,right,0.23799991607666016,1,1,0.47699999809265137,9.0
1,right,0.11099982261657715,1,1,0.29600000381469727,12
1,right,0.5220000743865967,1,1,1.051999807357788,9.0
0, ,0,0,0,0.812000036239624,6
1,right,0.25999999046325684,1,1,0.3819999694824219,0
1,right,0.5290000438690186,2,0,0.9700000286102295,6
1,right,0.31799983978271484,2,1,0.6889998912811279,0
0, ,0,0,0,0.3810000419616699,6
1,right,0.6390001773834229,1,1,1.1659998893737793,12
1,right,0.2330000400543213,1,1,0.7680001258850098,3.0
1,right,0.5190000534057617,2,1,0.43600010871887207,0
1,right,0.7660000324249268,2,0,1.4170000553131104,6
1,right,0.6329998970031738,2,0,0.30100011825561523,6
1,right,0.2840001583099365,1,1,0.2220001220703125,9.0
1,right,0.3279998302459717,2,0,0.8660001754760742,6
1,right,0.49199986457824707,2,0,2.5959999561309814,6
1,right,0.47099995613098145,2,0,1.055999994277954,6
0, ,0,0,0,0.36999988555908203,6
1,right,0.09100008010864258,2,1,0.22799992561340332,6.0
1,right,0.3789999485015869,2,1,1.5220000743865967,0
1,right,0.4930000305175781,1,1,0.49199986457824707,9.0
0, ,0,0,0,0.3489999771118164,6
1,right,0.7960000038146973,2,0,0.5309998989105225,6
1,right,0.14499998092651367,1,1,0.7639999389648438,9.0
1,right,0.6129999160766602,2,0,0.3409998416900635,6
1,right,0.29200005531311035,1,1,0.29600000381469727,3.0
1,right,0.4550001621246338,1,1,0.5499999523162842,12
1,right,0.27499985694885254,2,0,0.6329998970031738,6
0, ,0,0,0,0.4780001640319824,6
0, ,0,0,0,1.3429999351501465,6
1,right,0.2739999294281006,2,0,1.1719999313354492,6
0, ,0,0,0,0.4440000057220459,6
1,right,0.20399999618530273,1,1,0.2970001697540283,9.0
0, ,0,0,0,0.8830001354217529,6
1,right,0.8689999580383301,2,0,1.005000114440918,6
1,right,1.75,2,0,1.184000015258789,6
1,right,0.30900001525878906,1,1,0.7820000648498535,12
1,right,0.4549999237060547,2,0,1.2000000476837158,6
0, ,0,0,0,0.4419999122619629,6
0, ,0,0,0,0.5460000038146973,6
0, ,0,0,0,0.35500001907348633,6
1,right,0.28799986839294434,2,0,0.3619999885559082,6
1,right,0.5340001583099365,1,0,0.49200010299682617,6
