NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
1,right,1.0699999332427979,2,1,1.000999927520752,0
1,right,0.13900017738342285,2,1,0.07299995422363281,0
0, ,0,0,0,0.007999897003173828,6
0, ,0,0,0,0.7639999389648438,6
1,right,0.29399991035461426,1,0,1.6929998397827148,6
1,right,0.04999995231628418,2,1,0.8660001754760742,3.0
0, ,0,0,0,0.5799999237060547,6
1,right,0.3400001525878906,1,1,0.814000129699707,3.0
1,left,1.125999927520752,0,0,0.04500007629394531,6
1,left,1.3529999256134033,0,1,1.9170000553131104,0
1,left,1.1619999408721924,0,1,0.7640001773834229,6.0
1,right,0.4939999580383301,2,1,0.6600000858306885,0
1,right,0.44900012016296387,2,0,0.9890000820159912,6
0, ,0,0,1,0.9249999523162842,12
1,left,3.9860000610351562,0,1,0.07999992370605469,3.0
1,right,0.40199995040893555,1,1,1.1510000228881836,0
1,left,2.0439999103546143,0,1,0.9920001029968262,9.0
1,right,0.38299989700317383,2,1,0.1659998893737793,0
1,left,0.06699991226196289,0,0,0.4889998435974121,6
0, ,0,0,1,0.3559999465942383,0
1,right,0.8459999561309814,1,1,1.2339999675750732,12
1,right,0.7440001964569092,1,1,0.5450000762939453,12
1,right,2.0759999752044678,2,1,0.6820001602172852,3.0
0, ,0,0,1,0.630000114440918,0
1,right,1.4040000438690186,1,1,0.871999979019165,12
1,right,0.559999942779541,2,0,0.0709998607635498,6
0, ,0,0,0,0.3300001621246338,6
1,right,0.37999987602233887,1,1,0.8320000171661377,3.0
1,right,0.2849998474121094,1,1,0.43400001525878906,12
0, ,0,0,0,0.006999969482421875,6
1,right,0.2950000762939453,2,0,0.8570001125335693,6
1,right,0.13399982452392578,2,0,0.8689999580383301,6
1,right,0.10899996757507324,2,0,0.7609999179840088,6
0, ,0,0,0,0.4479999542236328,6
1,right,0.4889998435974121,1,1,0.12800002098083496,9.0
0, ,0,0,0,0.13899993896484375,6
1,right,0.2990000247955322,2,0,0.560999870300293,6
1,right,0.1099998950958252,1,1,0.6460001468658447,12
1,right,0.21399998664855957,2,0,0.9389998912811279,6
1,right,0.2650001049041748,2,0,0.27500009536743164,6
1,right,0.0820000171661377,2,0,0.4249999523162842,6
1,right,0.22300004959106445,2,0,0.9539999961853027,6
0, ,0,0,0,0.12800002098083496,6
1,right,0.48600006103515625,2,0,0.45799994468688965,6
1,right,0.37999987602233887,2,0,0.32200002670288086,6
1,right,0.5929999351501465,1,1,0.3919999599456787,6.0
0, ,0,0,0,0.5090000629425049,6
0, ,0,0,0,0.49900007247924805,6
1,right,0.3769998550415039,1,1,0.6060001850128174,9.0
1,right,0.4869999885559082,1,1,0.5520000457763672,9.0
1,right,0.309999942779541,1,1,0.18199992179870605,9.0
