NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
0, ,0,0,0,7.706999778747559,6
1,right,5.656000137329102,1,1,36.71900010108948,12
1,right,1.1410000324249268,1,1,1.9869999885559082,12
1,right,0.684999942779541,2,1,0.14300012588500977,0
1,right,0.9730000495910645,2,0,0.2330000400543213,6
0, ,0,0,1,10.424999952316284,9.0
1,right,0.03699994087219238,2,1,1.5850000381469727,0
0, ,0,0,1,1.7660000324249268,0
0, ,0,0,0,2.005000114440918,6
1,right,0.2569999694824219,1,1,0.4200000762939453,12
1,right,0.43400001525878906,2,0,0.6959998607635498,6
1,right,0.7650001049041748,1,1,0.3380000591278076,12
1,right,1.380000114440918,2,0,2.0899999141693115,6
1,right,1.0069999694824219,1,1,0.16299986839294434,0
0, ,0,0,1,2.003000020980835,12
1,right,0.17799997329711914,2,0,0.3410000801086426,6
1,right,1.257000207901001,1,1,0.49900007247924805,12
1,right,0.5580000877380371,1,1,1.128000020980835,9.0
1,right,0.6049997806549072,2,0,0.4739999771118164,6
0, ,0,0,1,2.437999963760376,12
1,right,0.5309998989105225,1,1,0.7249999046325684,12
1,right,1.4010000228881836,1,1,0.434999942779541,3.0
0, ,0,0,1,4.516999959945679,9.0
1,right,2.4040000438690186,2,0,0.2070000171661377,6
1,right,1.1540000438690186,2,0,4.859000205993652,6
1,right,0.2990000247955322,2,1,4.498000144958496,3.0
1,right,0.2950000762939453,2,0,0.6740000247955322,6
0, ,0,0,1,1.503999948501587,12
1,right,1.2139999866485596,1,1,0.3259999752044678,12
1,right,0.7190001010894775,1,1,0.46899986267089844,12
0, ,0,0,1,1.0469999313354492,0
1,right,1.5810000896453857,2,0,0.5920000076293945,6
1,right,0.6679999828338623,1,1,0.7669999599456787,12
1,right,2.427999973297119,1,1,3.5850000381469727,12
1,right,5.896000146865845,1,1,0.4030001163482666,9.0
0, ,0,0,1,5.171000003814697,6.0
0, ,0,0,1,0.26800012588500977,9.0
1,right,1.1429998874664307,1,1,0.5739998817443848,12
0, ,0,0,1,3.876999855041504,9.0
0, ,0,0,1,1.2980000972747803,12
1,right,6.3420000076293945,2,0,0.29799985885620117,6
1,right,0.3810000419616699,1,1,0.3259999752044678,9.0
0, ,0,0,1,2.0510001182556152,9.0
1,right,1.8320000171661377,1,1,0.3540000915527344,12
1,right,0.3660001754760742,1,1,1.2569999694824219,9.0
1,right,0.4030001163482666,1,1,2.128000020980835,0
1,right,1.312999963760376,1,1,0.5469999313354492,3.0
1,right,0.32399988174438477,1,1,0.9240000247955322,9.0
1,right,0.5769999027252197,2,0,1.440000057220459,6
1,right,0.3509998321533203,1,1,1.1119999885559082,9.0
1,right,0.6740000247955322,2,0,0.3970000743865967,6
1,right,0.9859998226165771,2,0,1.883000135421753,6
1,right,0.744999885559082,2,0,0.4309999942779541,6
1,right,0.33300018310546875,2,0,0.42100000381469727,6
0, ,0,0,1,0.46700000762939453,0
1,right,0.33499979972839355,1,1,1.502000093460083,12
1,right,0.7549998760223389,2,0,0.7660000324249268,6
1,right,0.7579998970031738,1,1,1.244999885559082,9.0
1,right,0.5600001811981201,1,1,1.2020001411437988,12
1,right,0.36500000953674316,1,1,0.742999792098999,12
1,right,0.4649999141693115,1,1,0.6010000705718994,9.0
1,right,0.7000000476837158,1,1,0.9019999504089355,12
0, ,0,0,1,1.6410000324249268,6.0
1,right,0.2990000247955322,1,1,0.7309999465942383,9.0
1,right,0.5950000286102295,1,1,3.3929998874664307,9.0
1,right,0.28299999237060547,2,0,0.3710000514984131,6
1,right,0.32899999618530273,1,1,0.5909998416900635,9.0
1,right,0.48600006103515625,2,0,0.15799999237060547,6
0, ,0,0,1,0.5429999828338623,12
1,right,0.43400001525878906,1,1,0.3449997901916504,12
1,right,0.34799981117248535,2,0,1.3619999885559082,6
1,right,0.33699989318847656,2,0,0.3899998664855957,6
1,right,0.14699983596801758,1,1,0.8229999542236328,12
1,right,0.5909998416900635,2,0,1.7140002250671387,6
1,right,2.6429998874664307,1,1,0.7609999179840088,12
1,right,0.3280000686645508,2,0,2.5899999141693115,6
1,right,0.48200011253356934,1,1,2.134999990463257,12
0, ,0,0,1,1.4160001277923584,3.0
1,right,0.6349999904632568,2,0,0.5249998569488525,6
1,right,0.30499982833862305,2,0,1.559000015258789,6
0, ,0,0,1,1.7979998588562012,12
1,right,1.0239999294281006,2,0,0.8359999656677246,6
0, ,0,0,1,5.381999969482422,0
1,right,0.34799981117248535,1,1,1.0049998760223389,9.0
1,right,1.1700000762939453,1,1,0.6039998531341553,12
1,right,0.315000057220459,2,0,1.8429999351501465,6
1,right,0.34800004959106445,1,1,1.2599999904632568,12
1,right,0.8290002346038818,2,0,0.5179998874664307,6
0, ,0,0,1,0.40400004386901855,12
1,right,0.4330000877380371,1,1,0.30499982833862305,3.0
1,right,0.3300001621246338,1,1,0.2929999828338623,9.0
1,right,0.39100003242492676,2,0,0.05499982833862305,6
0, ,0,0,1,0.505000114440918,6.0
1,right,0.9930000305175781,1,1,0.34999990463256836,12
1,right,0.9069998264312744,2,0,0.4609999656677246,6
1,right,0.8670001029968262,2,0,1.687000036239624,6
0, ,0,0,1,0.5109999179840088,9.0
1,right,0.27300000190734863,1,1,0.2480001449584961,6.0
0, ,0,0,1,0.3880000114440918,3.0
1,right,0.3149998188018799,1,1,1.0140001773834229,9.0
1,right,0.5250000953674316,2,0,3.5899999141693115,6
0, ,0,0,1,6.584000110626221,9.0
1,right,6.815000057220459,1,1,0.33099985122680664,12
0, ,0,0,1,1.687000036239624,12
0, ,0,0,1,0.9850001335144043,0
