EFE1,AL1,AI1,EX1,EV1,EFE2,AL2,AI2,EX2,EV2,UAI,UAL,RAL,REX,PEAL2,PEAI1,PEEX2,PEEV1
-1.06237313619651,-9.579327340438314e-06,-0.22936356624334928,0.8329999906258203,-0.2293731455706897,-1.000009568073824,-9.579327341000991e-06,0.0,0.999999988746483,-9.579327341000991e-06,-0.6931470680247895,-0.09579327448802118,1.125351708867333e-15,1.0,0.0,-0.46378350178144023,0.0,0.0
-1.06237313619651,-9.579327340438314e-06,-0.22936356624334928,0.8329999906258203,-0.2293731455706897,-1.000009568073824,-9.579327341000991e-06,0.0,0.999999988746483,-9.579327341000991e-06,-0.6931470680247895,-0.09579327448802118,1.0226186102185335e-15,1.0,0.0,-0.46378350178144023,0.0,0.0
,,,,,-0.9999999887464825,1.0293443932677283e-16,0.0,0.9999999887464828,1.0293443932677283e-16,,-0.09579327448802118,1.0293443932677283e-16,1.0,0.0,,0.0,
-1.06237313619651,-9.579327340438314e-06,-0.22936356624334928,0.8329999906258203,-0.2293731455706897,-1.000009568073824,-9.579327341000991e-06,0.0,0.999999988746483,-9.579327341000991e-06,-0.6931470680247895,-0.09579327448802118,9.291836292963333e-16,1.0,0.0,-0.46378350178144023,0.0,0.0
,,,,,-0.9999999887464825,9.85733879253312e-17,0.0,0.9999999887464828,9.85733879253312e-17,,-0.09579327448802118,9.85733879253312e-17,1.0,0.0,,0.0,
-1.06237313619651,-9.579327340438314e-06,-0.22936356624334928,0.8329999906258203,-0.2293731455706897,-1.000009568073824,-9.579327341000991e-06,0.0,0.999999988746483,-9.579327341000991e-06,-0.6931470680247895,-0.09579327448802118,8.479926734744843e-16,1.0,0.0,-0.46378350178144023,0.0,0.0
-1.06237313619651,-9.579327340438314e-06,-0.22936356624334928,0.8329999906258203,-0.2293731455706897,-1.000009568073824,-9.579327341000991e-06,0.0,0.999999988746483,-9.579327341000991e-06,-0.6931470680247895,-0.09579327448802118,-9.57932734100099e-06,0.5,1.6940658945086007e-21,-0.46378350178144023,-0.5000000000000002,0.0
-1.0623683465328388,-4.7896636693806205e-06,-0.22936356624334928,0.8329999906258203,-0.22936835590701862,-1.000009568073824,-9.579327341000991e-06,0.0,0.999999988746483,-9.579327341000991e-06,-0.6931470680247895,-0.08572756886004568,-9.830969985777894e-06,1.5,-1.2582131962469932e-06,-0.46378350178144023,0.5525386870247526,4.789663671039834e-06
-1.0623722253367138,-8.668467544457188e-06,-0.22936356624334925,0.8329999906258203,-0.22937223471089366,-1.000009568073824,-9.579327341000991e-06,0.0,0.999999988746483,-9.579327341000991e-06,-0.6931470680247895,-0.07757607836339112,-1.0034757251496344e-05,0.0,-2.277149502457606e-06,-0.4637835017814403,-1.0,9.108597960050258e-07
-1.0623683465328388,-4.7896636693806205e-06,-0.22936356624334928,0.8329999906258203,-0.22936835590701862,-1.000009568073824,-9.579327341000991e-06,0.0,0.999999988746483,-9.579327341000991e-06,-0.6931470680247895,-0.09579327448802118,-9.57932734100099e-06,1.5,1.6940658945086007e-21,-0.46378350178144023,0.4999999999999998,-4.78966367106759e-06
-1.0886371864643172,-4.286378393645576e-06,-0.22936356624334928,0.859269333842574,-0.22936785262174292,-1.0525472479367801,-8.572756789530903e-06,0.0,1.0525386751799906,-8.572756789530903e-06,-0.6931470680247895,-0.07084017081978196,1.114397450656856e-15,1.0,0.0,-0.46378350178144023,0.0,4.286378395335078e-06
,,,,,-0.9999999887464825,8.966489776066914e-17,0.0,0.9999999887464828,8.966489776066914e-17,,-0.07951849614121018,-1.0017062464296559e-06,2.0,-2.065212939661817e-07,,1.0171455066192154,
,,,,,-0.9999999887464825,8.966489776066914e-17,0.0,0.9999999887464828,8.966489776066914e-17,,-0.07913960663980871,-7.811809456086736e-07,0.0,1.0215111883424336e-08,,-0.9876794330942155,
,,,,,-0.9999999887464825,8.966489776066914e-17,0.0,0.9999999887464828,8.966489776066914e-17,,-0.0787264754002861,-5.606465259908217e-07,1.5,2.2661821915254184e-07,,0.517044942876826,
-0.9999999887464824,2.022000686474024e-16,0.0,0.9999999887464828,2.0220006864740245e-16,-0.9999999887464821,7.801715782762256e-16,0.0,0.9999999887464828,7.801715782762256e-16,-0.6931470680247895,-0.07835491543306096,-1.0045075333680458e-06,1.0,-2.2095838785512011e-07,-0.6931470680247895,0.014630441472966216,0.0
-0.9999999887464824,2.022000686474024e-16,0.0,0.9999999887464828,2.0220006864740245e-16,-0.9999999887464821,7.801715782762256e-16,0.0,0.9999999887464828,7.801715782762256e-16,-0.6931470680247895,-0.0779868767464757,-7.600315667923184e-07,0.0,1.9837191896172e-08,-0.6931470680247895,-0.9854081407045044,0.0
