EFE1,AL1,AI1,EX1,EV1,EFE2,AL2,AI2,EX2,EV2,UAI,UAL,RAL,REX,PEAL2,PEAI1,PEEX2,PEEV1
-1.0000008879709146,-8.992244320547359e-07,0.0,0.9999999887464825,-8.992244320547359e-07,-0.9999999887464817,1.125351708867333e-15,0.0,0.9999999887464828,1.125351708867333e-15,-0.6931470680247895,-0.08992244422867088,-8.992244321672712e-07,2.0,-2.117582368135751e-22,-0.6931470680247895,1.0,0.0
-1.0094215785807763,-8.907531093053725e-07,-6.847683695742997e-18,1.009420687827667,-8.907531093122202e-07,-0.9999999887464817,1.125351708867333e-15,0.0,0.9999999887464828,1.125351708867333e-15,-0.6931470680247895,-0.08907531194420132,-8.503191875865698e-07,2.0,4.043392183133783e-08,-0.6931470680247895,0.9905793008127997,0.0
,,,,,-0.9999999887464825,1.1253517088673328e-16,0.0,0.9999999887464828,1.125351708867333e-16,,-0.0882439918535474,-8.058054515345368e-07,2.0,7.66344570703843e-08,,0.9813344442118415,
-1.074509369718982,-8.742804434582393e-06,-0.21376118902181634,0.8607394378927311,-0.21376993182625087,-1.027748178817829,-8.742804435145068e-06,-6.847683695742997e-17,1.0277394360133938,-8.742804435213546e-06,-0.6931470680247895,-0.0874280453353237,-7.651311286515909e-06,2.0,1.0914931486291597e-06,-0.4793858790029732,0.9722605524209227,0.0
,,,,,-0.9999999887464825,1.1253517088673328e-16,0.0,0.9999999887464828,1.125351708867333e-16,,-0.08196172403737084,-5.587701221472469e-07,2.0,2.608471090028849e-07,,0.8963911520305392,
-1.158008473285423,-7.991953339293139e-06,-0.2137611890218163,0.9442392923102676,-0.21376918097515563,-1.1858388401496416,-7.321201792966177e-06,0.0,1.1858315189478486,-7.321201792966177e-06,-0.6931470680247895,-0.07321201875355449,-3.4191489337289946e-06,2.0,3.9020528592371824e-06,-0.47938587900297325,0.8141684677073759,6.707515469717151e-07
-1.166578670061084,-7.801252504644446e-07,-0.0007510942164844113,1.1658267957193493,-0.0007518743417348758,-0.9999999887464817,1.125351708867333e-15,0.0,0.9999999887464828,1.125351708867333e-15,-0.6931470680247895,-0.07801252593561327,-9.365033122608011e-07,0.0,-1.5637806168382138e-07,-0.6923959738083051,-1.1658268088390014,0.0
-1.2035773811269221,-7.440655992151715e-06,-0.21376118902181626,0.9898087514491137,-0.21376862967780838,-1.2863880306505713,-6.297252264491762e-06,0.0,1.2863817333983067,-6.297252264491762e-06,-0.6931470680247895,-0.08584059817537885,-9.094290474862731e-06,0.5,-5.102307539257112e-07,-0.47938587900297325,-0.5272357773012617,-1.143403728226522e-06
-1.1899552005996796,-3.148626131120529e-06,-0.21376118902181626,0.9761908629517322,-0.21376433764794736,-1.2863880306505713,-6.297252264491762e-06,0.0,1.2863817333983067,-6.297252264491762e-06,-0.6931470680247895,-0.07264949516523682,1.125351708867333e-15,1.0,0.0,-0.47938587900297325,0.0,3.1486261327928755e-06
-1.1899552005996796,-3.148626131204892e-06,-0.21376118902181626,0.9761908629517322,-0.21376433764794742,-1.2863880306505713,-6.297252264491762e-06,0.0,1.2863817333983067,-6.297252264491762e-06,-0.6931470680247895,-0.07264949516523682,-3.94498087462457e-06,0.5,3.3199685601428774e-06,-0.47938587900297325,-0.4462155880680997,3.1486261327096088e-06
