NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
0, ,0,0,0,2.240999937057495,6
1,right,1.250999927520752,2,1,5.197000026702881,3.0
1,right,0.8830001354217529,1,1,1.1689999103546143,9.0
1,right,1.0259997844696045,2,0,0.32000017166137695,6
1,right,0.2519998550415039,1,1,1.2829999923706055,6.0
1,right,0.9429998397827148,2,0,1.5859999656677246,6
1,right,0.22699999809265137,1,1,0.10299992561340332,12
1,right,0.6940000057220459,1,1,0.2990000247955322,9.0
1,right,0.5060000419616699,2,0,0.6659998893737793,6
1,right,0.8270001411437988,2,1,0.3839998245239258,6.0
1,right,0.22300004959106445,2,1,0.4269998073577881,0
1,right,0.5180001258850098,2,0,0.44500017166137695,6
1,right,0.004000186920166016,1,1,0.6349999904632568,9.0
1,right,0.7019999027252197,2,0,0.1959998607635498,6
1,right,0.8020000457763672,2,0,0.06299996376037598,6
1,right,0.06100010871887207,1,1,0.0280001163482666,12
1,right,0.1400001049041748,2,0,0.013000011444091797,6
1,right,0.47300004959106445,1,1,0.06200003623962402,12
1,right,0.19000005722045898,2,0,0.2560000419616699,6
0, ,0,0,0,0.24599981307983398,6
0, ,0,0,1,0.14999985694885254,0
1,right,0.08500003814697266,1,1,0.3259999752044678,12
1,right,0.04900002479553223,2,0,0.03699994087219238,6
0, ,0,0,0,0.4330000877380371,6
1,right,0.021000146865844727,1,1,0.32200002670288086,9.0
0, ,0,0,0,0.026000022888183594,6
1,right,0.20099997520446777,1,1,0.19099998474121094,12
0, ,0,0,0,0.09100008010864258,6
1,right,0.17999982833862305,2,0,0.19300007820129395,6
1,right,0.1100001335144043,2,0,0.12199997901916504,6
1,right,0.04500007629394531,1,1,0.06299996376037598,12
1,right,0.08999991416931152,2,0,0.125,6
0, ,0,0,0,0.06199979782104492,6
0, ,0,0,0,0.4659998416900635,6
1,right,0.10299992561340332,2,0,0.10500001907348633,6
1,right,0.12100005149841309,2,0,0.2820000648498535,6
1,right,0.6340000629425049,1,1,0.27300000190734863,12
1,right,0.6210000514984131,1,1,0.12800002098083496,12
0, ,0,0,0,0.042999982833862305,6
1,right,0.07500004768371582,2,0,0.6510000228881836,6
1,right,0.2719998359680176,1,1,0.06800007820129395,3.0
1,right,0.24699997901916504,1,1,0.051000118255615234,6.0
1,right,0.023000001907348633,2,0,0.13199996948242188,6
1,right,0.003999948501586914,2,1,0.30499982833862305,0
1,right,0.056999921798706055,2,0,0.11800003051757812,6
1,right,0.15199995040893555,2,0,0.05200004577636719,6
0, ,0,0,0,0.21600008010864258,6
1,right,0.1699998378753662,1,1,0.20000004768371582,9.0
1,right,0.8259999752044678,1,1,0.36999988555908203,9.0
1,right,0.057000160217285156,2,0,0.19900012016296387,6
1,right,0.2069997787475586,2,0,0.21499991416931152,6
1,right,0.4890000820159912,2,0,0.09999990463256836,6
0, ,0,0,0,0.10700011253356934,6
1,right,0.04999995231628418,2,0,0.812999963760376,6
1,right,0.06299996376037598,1,1,0.4049999713897705,0
1,right,0.1119999885559082,2,0,0.17500019073486328,6
1,right,0.18000006675720215,2,0,0.20199990272521973,6
1,right,0.36700010299682617,1,1,0.1119999885559082,9.0
1,right,0.2090001106262207,2,0,0.2389998435974121,6
1,right,0.4629998207092285,2,0,0.3919999599456787,6
0, ,0,0,0,0.38899993896484375,6
1,right,0.4530000686645508,1,1,0.13000011444091797,9.0
1,right,0.5970001220703125,1,1,0.18400001525878906,12
0, ,0,0,0,0.19500017166137695,6
1,right,0.09299993515014648,1,1,0.057000160217285156,6.0
1,right,0.03299999237060547,2,0,2.740999937057495,6
0, ,0,0,0,0.004999876022338867,6
1,right,0.20199990272521973,2,0,0.6419999599456787,6
1,right,0.07500004768371582,2,0,0.38499999046325684,6
0, ,0,0,0,0.5490000247955322,6
1,right,0.0839998722076416,2,1,0.36500000953674316,0
1,right,0.13399982452392578,2,1,0.5610001087188721,6.0
1,right,0.44899988174438477,2,1,0.21799993515014648,0
1,right,0.31999993324279785,1,1,0.24200010299682617,9.0
1,right,0.0989999771118164,1,1,0.07899999618530273,3.0
1,right,0.003000020980834961,2,0,0.5080001354217529,6
1,right,0.009999990463256836,2,0,0.04999995231628418,6
1,right,0.5600001811981201,2,0,0.06500005722045898,6
0, ,0,0,0,0.08899998664855957,6
0, ,0,0,0,0.22300004959106445,6
1,right,0.630000114440918,1,1,0.3429999351501465,6.0
1,right,0.10899996757507324,2,0,0.6089999675750732,6
1,right,0.6570000648498535,2,0,1.6649999618530273,6
1,right,0.20399999618530273,2,0,0.7649998664855957,6
1,right,1.130000114440918,2,1,0.18900012969970703,0
1,right,0.8650000095367432,2,0,0.4519999027252197,6
0, ,0,0,0,0.5669999122619629,6
1,right,2.693000078201294,1,1,0.6499998569488525,9.0
1,right,0.0710000991821289,2,0,0.2669999599456787,6
0, ,0,0,0,0.11099982261657715,6
1,right,0.26399993896484375,1,1,0.5270001888275146,9.0
1,right,0.20099997520446777,2,0,0.3989999294281006,6
1,right,0.21499991416931152,1,1,0.032000064849853516,12
1,right,0.4070000648498535,1,1,0.07400012016296387,12
1,right,0.16199994087219238,2,0,0.1119999885559082,6
1,right,0.03400015830993652,2,0,0.33099985122680664,6
0, ,0,0,0,0.0009999275207519531,6
1,right,0.17100000381469727,1,1,0.03600001335144043,12
1,right,0.5550000667572021,2,0,0.36500000953674316,6
0, ,0,0,0,0.023999929428100586,6
1,right,0.5559999942779541,1,1,0.12199997901916504,12
1,right,0.17499995231628418,2,0,0.1940000057220459,6
0, ,0,0,0,0.0840001106262207,6
0, ,0,0,0,0.6689999103546143,6
0, ,0,0,0,0.1700000762939453,6
0, ,0,0,0,0.18999981880187988,6
0, ,0,0,0,0.04499983787536621,6
1,right,0.7139999866485596,1,1,0.10800004005432129,9.0
1,right,0.49699997901916504,2,0,0.5810000896453857,6
1,right,0.6540000438690186,1,1,1.364999771118164,12
1,right,0.3530001640319824,1,1,0.04999995231628418,3.0
0, ,0,0,0,0.019999980926513672,6
0, ,0,0,0,1.2330000400543213,6
1,right,2.2929999828338623,2,0,0.19700002670288086,6
1,right,0.7060000896453857,2,0,0.14600014686584473,6
0, ,0,0,0,0.17299985885620117,6
1,right,0.006999969482421875,2,0,0.7009999752044678,6
1,right,0.16000008583068848,2,0,0.17300009727478027,6
1,right,0.08000016212463379,1,1,0.016000032424926758,12
1,right,0.1830000877380371,1,1,0.04999995231628418,9.0
