NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
0, ,0.21000003814697266,0,0,0.5559999942779541,6
1,right,0,1,1,0.7590000629425049,12
1,right,0.2569999694824219,2,0,0.8500001430511475,6
1,right,0.20000004768371582,1,1,0.7819998264312744,9.0
1,right,0.5180001258850098,1,1,2.0900001525878906,12
1,right,1.1570000648498535,2,0,0.46199989318847656,6
1,right,0.4830000400543213,1,1,0.0989999771118164,12
1,right,0.372999906539917,1,1,0.6530001163482666,12
0, ,0.35700011253356934,0,0,1.560999870300293,6
1,right,0,2,0,0.6319999694824219,6
1,right,0.6080000400543213,2,0,0.4649999141693115,6
1,right,0.6029999256134033,2,0,0.247999906539917,6
1,right,0.3470001220703125,2,0,0.3660001754760742,6
1,right,0.7440001964569092,2,0,0.08299994468688965,6
0, ,0.33299994468688965,0,0,0.5099999904632568,6
1,right,0,2,0,0.12899994850158691,6
0, ,0.16199994087219238,0,0,0.14800000190734863,6
0, ,0,0,0,0.13199996948242188,6
1,right,0,2,0,0.03299999237060547,6
1,right,0.42600011825561523,1,1,0.1770000457763672,12
1,right,0.2980000972747803,1,1,0.7219998836517334,0
1,right,0.1419999599456787,1,1,1.0779998302459717,9.0
1,right,1.5550000667572021,2,0,1.940000057220459,6
1,right,0.37399983406066895,2,0,0.16299986839294434,6
1,right,0.8950002193450928,1,1,0.3450000286102295,12
1,right,0.2609999179840088,1,1,0.4759998321533203,9.0
1,right,0.06299996376037598,1,1,0.4939999580383301,12
1,right,1.178999900817871,1,1,0.26999998092651367,12
1,right,0.24599981307983398,1,1,0.15199995040893555,12
0, ,1.4879999160766602,0,0,0.43400001525878906,6
0, ,0,0,0,0.3059999942779541,6
1,right,0,2,0,1.0139999389648438,6
1,right,0.06100010871887207,1,1,0.13900017738342285,12
1,right,0.34399986267089844,1,1,0.13100004196166992,12
1,right,0.21599984169006348,1,1,0.13900017738342285,6.0
1,right,2.171999931335449,2,0,3.881999969482422,6
1,right,2.2840001583099365,1,1,0.13900017738342285,12
1,right,2.3930001258850098,2,0,1.6019999980926514,6
0, ,1.7829999923706055,0,0,0.11099982261657715,6
1,right,0,2,0,0.3280000686645508,6
1,right,2.2660000324249268,1,1,0.06199979782104492,9.0
1,right,0.1919999122619629,2,0,6.033999919891357,6
0, ,0.8050000667572021,0,0,0.20399999618530273,6
1,right,0,1,1,0.0970001220703125,12
1,right,1.0820000171661377,2,0,1.0369999408721924,6
1,right,0.127000093460083,1,1,0.4099998474121094,3.0
1,right,3.6449999809265137,1,1,0.9040000438690186,12
1,right,0.003000020980834961,1,1,5.138000011444092,9.0
0, ,0.754000186920166,0,0,0.8959999084472656,6
1,right,0,1,1,5.861999988555908,9.0
