NoAsk,Resp_1,Rt_1,Context,Resp_2,Rt_2,Apple
1,left,0.9519999027252197,0,1,1.7900002002716064,12
1,left,0.1700000762939453,0,1,0.6710000038146973,12
0, ,0,0,1,1.0069999694824219,12
1,right,0.5939998626708984,1,1,0.2949998378753662,12
0, ,0,0,1,0.937999963760376,12
1,right,0.5959999561309814,1,1,0.4939999580383301,12
1,left,0.9570000171661377,0,1,0.7019999027252197,0
1,right,0.4890000820159912,2,1,1.5490000247955322,3.0
1,right,0.7190001010894775,2,0,0.8169999122619629,6
1,right,0.6410000324249268,2,1,0.9440000057220459,3.0
1,left,0.5420000553131104,0,1,0.34800004959106445,0
0, ,0,0,1,1.0729999542236328,12
0, ,0,0,1,0.6180000305175781,12
1,left,1.1500000953674316,0,1,0.6359999179840088,0
0, ,0,0,0,0.6189999580383301,6
0, ,0,0,0,0.742999792098999,6
1,right,0.6030001640319824,2,0,0.9739999771118164,6
0, ,0,0,1,0.4829998016357422,0
1,right,0.3359999656677246,2,0,1.124000072479248,6
1,right,0.34200000762939453,2,0,0.5430002212524414,6
1,right,0.312999963760376,1,1,0.7569999694824219,12
1,left,0.3399999141693115,0,1,0.690000057220459,12
1,right,0.7539999485015869,2,0,1.06600022315979,6
1,right,0.24100017547607422,1,1,0.8849999904632568,12
1,left,0.5390000343322754,0,1,1.0230000019073486,12
1,right,0.12400007247924805,2,0,0.7819998264312744,6
1,right,0.39800000190734863,2,0,1.2929999828338623,6
0, ,0,0,1,0.5829999446868896,12
0, ,0,0,1,0.5390000343322754,0
1,right,0.33500003814697266,2,0,0.8469998836517334,6
1,right,0.684999942779541,2,0,0.9869999885559082,6
0, ,0,0,1,2.753000020980835,0
1,right,0.2929999828338623,1,1,0.2980000972747803,0
1,right,0.5379998683929443,1,0,0.31599998474121094,6
1,right,0.4650001525878906,1,0,0.5950000286102295,6
1,right,0.40399980545043945,1,0,0.7829999923706055,6
1,left,0.25799989700317383,0,1,0.3059999942779541,0
1,left,0.4330000877380371,0,1,0.315000057220459,12
1,left,0.31999993324279785,0,1,0.6469998359680176,0
1,right,0.11299991607666016,1,0,0.2990000247955322,6
0, ,0,0,1,0.43600010871887207,12
0, ,0,0,1,0.32400012016296387,12
1,right,0.6630001068115234,2,1,0.29799985885620117,6.0
0, ,0,0,1,0.33100008964538574,0
0, ,0,0,0,0.44299983978271484,6
1,right,1.4849998950958252,2,1,0.2969999313354492,12
0, ,0,0,1,0.3300001621246338,12
0, ,0,0,1,0.36100006103515625,12
0, ,0,0,0,0.7400000095367432,6
1,right,0.3320000171661377,2,1,0.5469999313354492,3.0
0, ,0,0,1,0.7569999694824219,12
1,left,1.0910000801086426,0,1,0.7799999713897705,12
1,right,0.2950000762939453,1,1,0.33700013160705566,12
0, ,0,0,1,0.36100006103515625,12
1,right,0.24000000953674316,1,1,0.6160001754760742,12
0, ,0,0,1,0.49500012397766113,12
1,right,0.3600001335144043,2,0,0.6540000438690186,6
1,right,0.3400001525878906,2,0,3.072999954223633,6
1,right,0.4270000457763672,1,1,0.4680001735687256,12
1,left,0.2630000114440918,0,1,0.4790000915527344,12
1,right,0.3429999351501465,2,0,0.7569999694824219,6
1,right,0.3510000705718994,2,0,1.0069999694824219,6
1,left,0.26799988746643066,0,1,0.6289999485015869,0
1,right,0.5899999141693115,1,1,0.3450000286102295,12
1,left,0.5390000343322754,0,1,0.3559999465942383,12
1,right,0.9719998836517334,1,1,0.4029998779296875,3.0
0, ,0,0,1,0.7809998989105225,12
1,right,0.2890000343322754,2,1,0.5859999656677246,0
0, ,0,0,1,0.6019999980926514,12
1,left,0.8350000381469727,0,1,0.29399991035461426,12
1,left,0.2560000419616699,0,1,0.3019998073577881,12
1,left,0.7450001239776611,0,1,0.41499996185302734,12
0, ,0,0,1,0.9839999675750732,0
1,right,0.5690000057220459,1,1,0.7599999904632568,12
0, ,0,0,1,0.3689999580383301,12
1,right,0.4530000686645508,2,0,0.3339998722076416,6
1,right,0.39100003242492676,2,0,0.6420001983642578,6
1,right,0.37599992752075195,2,0,0.17400002479553223,6
0, ,0,0,1,0.3339998722076416,12
1,left,0.2669999599456787,0,1,0.35199999809265137,12
0, ,0,0,1,0.6180000305175781,12
1,right,1.193000078201294,1,1,0.312000036239624,12
1,left,0.6430001258850098,0,1,0.49000000953674316,0
1,right,0.34200000762939453,2,0,0.2990000247955322,6
0, ,0,0,1,0.6619999408721924,0
1,right,0.7259998321533203,2,0,0.4309999942779541,6
1,left,1.0510001182556152,0,0,0.3059999942779541,6
1,right,0.2670001983642578,2,0,0.6790001392364502,6
1,right,0.6000001430511475,2,0,0.3209998607635498,6
1,right,0.30500006675720215,1,1,0.3130002021789551,9.0
